Objeto do Contrato;Tipo de Procedimento;Tipo(s) de Contrato;CPVs;Entidade(s) Adjudicante(s);Entidade(s) Adjudicatária(s);Preço Contratual;Data de Publicação;Data de Celebração do Contrato;Prazo de Execução;Local de Execução;Fundamentação;Data de Fecho do Contrato;Preço Total Efetivo;Causas das Alterações ao Prazo;Causas das Alterações ao Preço;Estado;N.º registo do Acordo Quadro;Descrição do Acordo Quadro;Procedimento Centralizado
CP200018 - Aquisição de Luvas para o CHLO;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar de Lisboa Ocidental, E. P. E. (507618319)";"EZEQUIEL PANAO JORGE, LDA (501412727)";"7.964,12 €";21-05-2019;23-01-2019;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aluguer de tendas e stands no âmbito de diversos eventos a decorrer no concelho durante o ano de 2019;Concurso público;Aquisição de serviços;"79956000-0, Serviços de organização de feiras e exposições";Município de Proença-a-Nova (505377802);"VTE Eventos, Ld.ª (510782582)";"86.350,00 €";21-05-2019;21-05-2019;240 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP200018 - Aquisição de Luvas para o CHLO;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar de Lisboa Ocidental, E. P. E. (507618319)";"BARNA IMPORT MEDICA PORTUGAL, UNIPESSOAL LDA (513468994)";"230.023,00 €";21-05-2019;04-03-2019;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de uma carteira de diversos tipos de seguros;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";Fundação INATEL (500122237);"SGS-Sociedade Mediadora de Seguros, Lda (502496355)";"78.082,11 €";21-05-2019;15-05-2019;365 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP200018 - Aquisição de Luvas para o CHLO;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar de Lisboa Ocidental, E. P. E. (507618319)";"PAUL HARTMANN, LDA. (502271728)";"2.880,00 €";21-05-2019;23-01-2019;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de uma carteira de diversos tipos de seguros;Concurso público;Aquisição de serviços;"66510000-8, Serviços de seguros";Fundação INATEL (500122237);"Villas-Boas ACP-Corretores associados de Seguros, Lda (500477540)";"521.339,88 €";21-05-2019;07-05-2019;426 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP200018 - Aquisição de Luvas para o CHLO;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar de Lisboa Ocidental, E. P. E. (507618319)";"Medline International Portugal Unipessoal, Lda (510533515)";"60.543,60 €";21-05-2019;28-02-2019;365 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de energia elétrica, em mercado liberalizado, para as instalações da Entidade Reguladora da Saúde";Concurso público;Aquisição de bens móveis;"09100000-0, Combustíveis";Entidade Reguladora da Saúde (507021266);"Galp Power, S.A. (504723456)";"120.000,00 €";21-05-2019;30-04-2019;1080 dias;"Portugal, Porto, Porto";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 92001119 - AQUISIÇÃO DE DISPOSITIVOS MEDICOS PARA ORTOPEDIA;Concurso público;Aquisição de bens móveis;"33000000-0, Equipamento médico, medicamentos e produtos para cuidados pessoais";"Unidade Local de Saúde do Baixo Alentejo, E.P.E. (508754275)";"JOHNSON & JOHNSON, LDA (500153370)";"12.286,00 €";21-05-2019;27-03-2019;730 dias;"Portugal, Beja, Beja";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de equipamentos na área das tecnologias de informação e comunicação no âmbito do projeto ""Laboratórios Vivos""";Concurso público;Aquisição de bens móveis;"30236000-2, Equipamento informático diverso";Município de Tondela (506822680);"Meo-Serviços de Comunicações e Multimédia, S.A (504615947)";"90.445,03 €";21-05-2019;15-05-2019;306 dias;"Portugal, Viseu, Tondela";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Diverso Material de Bloco Operatório, à ULSNA, EPE, em 2019";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"HOSPITEX,LDA (501909842)";"344,30 €";21-05-2019;10-05-2019;237 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Material de Urologia;Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Centro Hospitalar Universitário do Algarve, E. P. E. (510745997)";"BOSTON SCIENTIFIC PORTUGAL, LDA (504988964), HOSPITEX MATERIAL HOSPITALAR (501909842), ANASTÁCIO SALDANHA UNIP.  LDA. (505804441), TELEFLEX MEDICAL, S.A. (980249783), Medline International Portugal Unipessoal, Lda (510533515), MUNDINTER (500199906), TEPREL- Equipamentos Médicos, ldª. (502262184), CARDINAL HEALTH PORTUGAL 513, UNIPESSOAL (513620834), SPECULUM - Artigos Médicos, S.A. (502996323), CATETER PRODUTOS MEDICOS E HOSPITALARES, LDA (502914319), COLOPLAST PORTUGAL SOC. UNIP., LDA (EX PORGES) (503989037), HR  HOSPITALAR,Unipessoal, LDA (501895558), AVIQUIMICA IMPORT E MANUFATURA (500039720), OVERPHARMA - PRODUTOS MEDICOS E FARM. (505792362), Lineamedica Dispositivos Méd Cirúrgicos, SA (505148676), B BRAUN MEDICAL, LDA. (501506543)";"99.354,55 €";21-05-2019;08-05-2019;238 dias;"Portugal, Faro, Portimão<BR/>Portugal, Faro, Faro<BR/>Portugal, Faro, Lagos";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"PRC_0258/2018_EXP - Aquisição de Contadores de Caudal e Equipamentos de Comunicação e Registo para a Águas do Norte, S.A. - Lote 1";Concurso público;Aquisição de bens móveis;"38421000-2, Equipamento para medição do caudal";"Águas do Norte, SA (513606084)";;"0,00 €";21-05-2019;08-05-2019;1460 dias;"Portugal, Vila Real";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;3584718;"PRC_0258/2018_EXP - Aquisição de Contadores de Caudal e Equipamentos de Comunicação e Registo para a Águas do Norte, S.A.";false
"CP 16-2019 - Aquisição de reagentes para deteção de antigénios e anticorpos para diagnóstico e monitorização de doenças infeciosas para o Instituto Nacional de saúde Doutor Ricardo Jorge, I.P.";Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";BAPTISTA MARQUES DIAGNOSTICA (501439110);"14.493,60 €";21-05-2019;15-05-2019;230 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento continuo de combustiveis por cartão magnético e lavagem de viaturas;Concurso público;Aquisição de bens móveis<br/>Aquisição de serviços;"09130000-9, Petróleo e destilados";Município de Ponte de Lima (506811913);"Repsol Portuguesa, SA (500246963)";"114.995,37 €";21-05-2019;28-04-2019;180 dias;"Portugal, Viana do Castelo, Ponte de Lima";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Diverso Material de Bloco Operatório, à ULSNA, EPE, em 2019";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"J.M.V. - SOC. COM. REPRESENTAÇOES, LDA. (501887148)";"155,70 €";21-05-2019;10-05-2019;237 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP 14/2019-CF - Aquisição de sistema matricial vídeo e áudio - 45_3702/16641;Concurso público;Aquisição de bens móveis;"32000000-3, Equipamento de rádio, televisão, comunicação, telecomunicações e afins";"Rádio e Televisão de Portugal, S. A. (500225680)";"Dec.Imagem - Sistemas de Vídeo, S.A. (504719262)";"120.761,00 €";21-05-2019;21-05-2019;20 dias;"Portugal, Lisboa, Lisboa";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Material para Manutenção Semafórica;Concurso público;Aquisição de bens móveis;"34996100-6, Semáforos";Município de Vila Nova de Famalicão (506663264);"SOLTRÁFEGO-Soluções de Trânsito,Estac. e Comunicação,SA. (506370836)";"15.000,00 €";21-05-2019;20-05-2019;365 dias;"Portugal, Braga, Vila Nova de Famalicão";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Serviços de solução de printing em regime de outsourcing para a SPMS;Concurso público;Aquisição de serviços;"72611000-6, Serviços de assistência técnica informática";"SPMS - Serviços Partilhados do Ministério da Saúde, E. P. E. (509540716)";"RICOH PORTUGAL UNIPESSOAL, LDA (508080975)";"180.000,00 €";21-05-2019;06-05-2019;720 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Manutenção de Caminhos Rurais;Concurso público;Empreitadas de obras públicas;"45233141-9, Manutenção de estradas";Município da Guarda (501131140);"Floresta Bem Cuidada, Lda (507068211)";"184.390,00 €";21-05-2019;15-05-2019;90 dias;"Portugal, Guarda, Guarda";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Reabilitação dos Edifícios da Orquestra Típica, Cancioneiro e Conservatório e do Espaço Exterior Envolvente aos Mesmos";Concurso público;Empreitadas de obras públicas;"45200000-9, Obras de construção total ou parcial e de engenharia civil<BR/>45110000-1, Demolição e destruição de edifícios e movimento de terras<BR/>45112000-5, Escavação e movimento de terras";Município de Águeda (501090436);"Nível 20 – Estudos, Projectos e Obras, Lda (503253715)";"1.019.983,46 €";21-05-2019;21-03-2019;120 dias;"Portugal, Aveiro, Águeda";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de mobiliário de escritório para o Município do Funchal.;Concurso público;Aquisição de bens móveis;"39130000-2, Mobiliário de escritório";Câmara Municipal do Funchal (511217315);"Fantoffice, Lda. (503847488)";"64.759,97 €";21-05-2019;23-04-2019;335 dias;"Portugal, Região Autónoma da Madeira";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público Urgente para a Aquisição de Selos de Garantia Cavaleiro para a Denominação de Origem Porto;Concurso público;Aquisição de bens móveis;"22410000-7, Selos";"Instituto dos Vinhos do Douro e do Porto, I. P. (501176080)";"Ancestra, Indústria Gráfica, Lda. (504615416)";"130.000,00 €";21-05-2019;07-05-2019;85 dias;"Portugal, Vila Real, Peso da Régua";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços de vigilância e segurança;Concurso público;Aquisição de serviços;"79710000-4, Serviços de segurança";CRPG - Centro de Reabilitação Profissional de Gaia (504791834);"Ronsegur - Rondas de Segurança, Lda (507011724)";"263.447,76 €";21-05-2019;30-04-2019;1096 dias;"Portugal, Porto";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público com publicação no Jornal Oficial da União Europeia para aquisição centralizada de medicamentos para as Instituições do Serviço Nacional de Saúde;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Hospital Garcia de Orta, E.P.E. (506361470)";"Teva Pharma – Produtos Farmacêuticos, Lda (507045491)";"13.355,70 €";21-05-2019;26-02-2019;365 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
Reabilitação do Edifício do Cruzeiro Auditório Municipal e Escola de Teatro e Multimédia;Concurso público;Empreitadas de obras públicas;"45453100-8, Obras de recuperação";Município de Cascais (505187531);"GRAVINER CONSTRUÇÕES, S.A. (501188622)";"7.076.389,77 €";21-05-2019;15-05-2019;657 dias;"Portugal, Lisboa, Cascais";"Artigo 19.º, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Concurso Público com publicação no Jornal Oficial da União Europeia para aquisição centralizada de medicamentos para as Instituições do Serviço Nacional de Saúde;Concurso público;Aquisição de bens móveis;"33600000-6, Produtos farmacêuticos";"Hospital Garcia de Orta, E.P.E. (506361470)";"ACCORD HEALTHCARE, UNIPESSOAL LDA (508622263)";"3.088,60 €";21-05-2019;26-02-2019;365 dias;"Portugal, Setúbal, Almada";"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
Empreitada de pavimentação do caminho da Aldeia e troço do caminho da escola (Vale Santa Maria);Concurso público;Empreitadas de obras públicas;"45233220-7, Pavimentação de estradas";Município de Albufeira (503539473);"Manuel António & Jorge Almeida Construções,S.A. (500177295)";"345.974,00 €";21-05-2019;20-05-2019;90 dias;"Portugal, Faro, Albufeira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Diverso Material de Bloco Operatório, à ULSNA, EPE, em 2019";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"ANGOSAÚDE - EQUIPAMENTOS DE SAÚDE, S.A. (507016882)";"292,00 €";21-05-2019;10-05-2019;237 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Diverso Material de Bloco Operatório, à ULSNA, EPE, em 2019";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"PMH - Produtos Médicos Hospitalares, S.A. (502376899)";"938,00 €";21-05-2019;10-05-2019;237 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Construção de ETAR de Ôlas e acessos;Concurso público;Empreitadas de obras públicas;"45252127-4, Construção de estação de tratamento de águas residuais";Município de São João da Pesqueira (506892646);"Gualdim Anciães Amado & Filhos, Lda (506034453)";"241.695,22 €";21-05-2019;28-02-2019;240 dias;"Portugal<BR/>Portugal, Viseu, São João da Pesqueira";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Fornecimento de Diverso Material de Bloco Operatório, à ULSNA, EPE, em 2019";Concurso público;Aquisição de bens móveis;"33140000-3, Material médico de consumo";"Unidade Local de Saúde do Norte Alentejano, E. P. E. (508094461)";"Lineamedica Dispositivos Méd Cirúrgicos, SA (505148676)";"1.120,80 €";21-05-2019;10-05-2019;237 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de eletricidade em regime de mercado livre, para o período de 9 (nove) meses, para várias entidades das áreas governativas da Ciência, Tecnologia e Ensino Superior e da Educação";Concurso público;Aquisição de bens móveis;"09310000-5, Electricidade";Secretaria-Geral da Educação e Ciência (600015467);"GALP POWER, SA. (504723456)";"34.289,04 €";20-05-2019;29-03-2019;274 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;true
"Acordo Quadro para Aquisição de Peças de Reserva para a exploração dos  Grupos Térmicos das Centrais Termoelétricas da EDA - Electricidade dos Açores, S.A.";Concurso público;Aquisição de bens móveis;"31160000-5, Peças para motores, geradores e transformadores eléctricos";"Electricidade dos Açores, S. A. (512012032)";;"0,00 €";20-05-2019;14-03-2019;730 dias;"Portugal, Região Autónoma dos Açores";"Artigo 33.º, n.º 3 do Código dos Contratos Públicos";;;;;;3627164;"Acordo Quadro para Aquisição de Peças de Reserva para a exploração dos  Grupos Térmicos das Centrais Termoelétricas da EDA - Electricidade dos Açores, S.A.";false
Empreitada de Beneficiação das Instalações de AVAC do Palácio da Cova da Moura do Ministério dos Negócios Estrangeiros;Concurso público;Empreitadas de obras públicas;"45331000-6, Instalação de aquecimento, ventilação e ar condicionado";Secretaria-Geral do Ministério dos Negócios Estrangeiros (600014576);"Alexandre Barbosa Borges, S.A. (500553408)";"299.130,27 €";20-05-2019;20-05-2019;240 dias;"Portugal, Lisboa, Lisboa";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Acordo Quadro para Aquisição de Peças de Reserva para a exploração dos  Grupos Térmicos das Centrais Termoelétricas da EDA - Electricidade dos Açores, S.A.";Concurso público;Aquisição de bens móveis;"31160000-5, Peças para motores, geradores e transformadores eléctricos";"Electricidade dos Açores, S. A. (512012032)";;"0,00 €";20-05-2019;22-03-2019;730 dias;"Portugal, Região Autónoma dos Açores";"Artigo 33.º, n.º 3 do Código dos Contratos Públicos";;;;;;3627164;"Acordo Quadro para Aquisição de Peças de Reserva para a exploração dos  Grupos Térmicos das Centrais Termoelétricas da EDA - Electricidade dos Açores, S.A.";false
Aquisição de mobiliário;Concurso público;Aquisição de bens móveis;"39000000-2, Mobiliário (incl. de escritório), acessórios, aparelhos domésticos (excl. iluminação) e produtos de limpeza";Município de Vila Nova de Famalicão (506663264);"Julcar, Mobiliário Integrado SA (501140263)";"35.000,00 €";20-05-2019;20-05-2019;730 dias;"Portugal, Braga, Vila Nova de Famalicão";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Cimento;Concurso público;Aquisição de bens móveis;"44111200-3, Cimento";Município de Vila Nova de Famalicão (506663264);"Francisco Coelho & Companhia, Lda (500119309)";"15.000,00 €";20-05-2019;20-05-2019;365 dias;"Portugal, Braga, Vila Nova de Famalicão";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
FORNECIMENTO CONTINUADO E APLICAÇÃO DE BETUMINOSO NO CONCELHO DE MACHICO;Concurso público;Empreitadas de obras públicas;"45233223-8, Renovação do pavimento das faixas de rodagem";Câmara Municipal de Machico (511239440);"OBRACENTIMETRO - CONSTRUÇÃO CIVIL, LDA. (511123159)";"231.000,00 €";20-05-2019;15-05-2019;230 dias;"Portugal, Região Autónoma da Madeira, Machico";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de deservagem de passeios e zonas de circulação pedonal por 12 meses - Lote 2: Aquisição de serviços de deservagem de passeios e zonas de circulação pedonal para o ano de 2019-2020, com área de intervenção territorial na União das Freguesias de Queluz e Belas, União das Freguesias de Massamá e Monte Abraão, exclusivamente na Freguesia de Massamá e Freguesia de Casal de Cambra, nos termos das condições estabelecidas no caderno de encargos, Anexo B - especificações técnicas e proposta adjudicada";Concurso público;Aquisição de serviços;"77310000-6, Serviços de plantação e manutenção de áreas verdes";Município de Sintra (500051062);"FLORA GARDEN - PROJECTOS SILVICULTURA E JARDINAGEM, UNIPESSOAL, LDA. (505634848)";"75.000,00 €";20-05-2019;13-05-2019;366 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"CP 16-2019 - Aquisição de reagentes para deteção de antigénios e anticorpos para diagnóstico e monitorização de doenças infeciosas para o Instituto Nacional de saúde Doutor Ricardo Jorge, I.P.";Concurso público;Aquisição de bens móveis;"33696500-0, Reagentes de laboratório";"Instituto Nacional de Saúde Doutor Ricardo Jorge, IP (501427511)";"BIOPORTUGAL - Químico, Farmacêutica, LDA. (502380543)";"22.805,00 €";20-05-2019;15-05-2019;230 dias;Portugal;"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição de serviços de deservagem de passeios e zonas de circulação pedonal por 12 meses - Lote 1: Aquisição de serviços de deservagem de passeios e zonas de circulação pedonal para o ano de 2019 - 2020, com a área de intervenção territorial na União das Freguesias de Sintra, União das Freguesias de São João das Lampas e Terrugem, União das Freguesias de Almargem do Bispo, Pero Pinheiro e Montelavar e Junta de Freguesia de Colares, nos termos das condições estabelecidas no caderno de encargos, Anexo B - especificações técnicas e proposta adjudicada";Concurso público;Aquisição de serviços;"77310000-6, Serviços de plantação e manutenção de áreas verdes";Município de Sintra (500051062);"FLORA GARDEN - PROJECTOS SILVICULTURA E JARDINAGEM, UNIPESSOAL, LDA. (505634848)";"75.000,00 €";20-05-2019;13-05-2019;366 dias;"Portugal, Lisboa, Sintra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Acordo Quadro para Aquisição de Peças de Reserva para a exploração dos  Grupos Térmicos das Centrais Termoelétricas da EDA - Electricidade dos Açores, S.A.";Concurso público;Aquisição de bens móveis;"31160000-5, Peças para motores, geradores e transformadores eléctricos";"Electricidade dos Açores, S. A. (512012032)";;"0,00 €";20-05-2019;14-03-2019;730 dias;"Portugal, Região Autónoma dos Açores";"Artigo 33.º, n.º 3 do Código dos Contratos Públicos";;;;;;3627164;"Acordo Quadro para Aquisição de Peças de Reserva para a exploração dos  Grupos Térmicos das Centrais Termoelétricas da EDA - Electricidade dos Açores, S.A.";false
Arranjo da Envolvente ao Castelo de Freixo de Espada à Cinta;Concurso público;Empreitadas de obras públicas;"45112700-2, Trabalhos de paisagismo";Município de Freixo de Espada à Cinta (506884937);"Manuel Joaquim Caldeira, Lda (503117080)";"1.031.739,25 €";20-05-2019;08-05-2019;300 dias;"Portugal, Braganca, Freixo Espada a Cinta";"Artigo 22.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de serviços para reparações domiciliárias e tarefas domésticas inerentes ao serviço camarário 'Oeiras Está Lá'.;Concurso público;Aquisição de serviços;"98110000-7, Serviços prestados por organizações empresariais, profissionais e especializadas";Município de Oeiras (500745943);"Habicuidados-SDI, LDA (504079093)";"63.936,00 €";20-05-2019;14-05-2019;731 dias;"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
PRC_0340/2017_EXP - Empreitadas Singulares de Redes de Abastecimento de Água - Fase 2 (Concelhos de Amarante e Celorico de Basto)  ;Concurso público;Empreitadas de obras públicas;"45232150-8, Obras relacionadas com condutas para abastecimento de água";"Águas do Norte, S. A. (513606084)";"DizConstrução, Lda. (514129000)";"260.000,00 €";20-05-2019;10-05-2019;365 dias;"Portugal, Porto, Amarante<BR/>Portugal, Braga, Celorico de Basto";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
SUBSTITUIÇÃO DA CONDUTA ADUTORA DO SISTEMA CENTRAL DE ABASTECIMENTO DE ÁGUA A CASTRO DAIRE – FORNECIMENTO E MONTAGEM DE TUBAGEM – 02.244.2015/1 ;Concurso público;Empreitadas de obras públicas;"45231110-9, Obras de colocação de condutas";Município de Castro Daire (506716210);FLOPONOR S A (503694479);"131.656,39 €";20-05-2019;23-08-2018;90 dias;"Portugal, Viseu, Castro Daire";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de reagentes para o serviço de Imunohemoterapia - Virologia;Concurso público;Aquisição de bens móveis;"33696200-7, Reagentes para análises ao sangue";"Hospital da Senhora da Oliveira Guimarães, E. P. E. (508080827)";"ABBOTT LABORATÓRIOS, LDA. (500006148)";"220.890,00 €";20-05-2019;28-03-2019;1095 dias;"Portugal, Braga, Guimarães";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Aquisição de Serviços de Trabalho Temporário;Concurso público;Aquisição de serviços;"79620000-6, Serviços de fornecimento de pessoal, inclusive temporário";"Águas de Santo André, S.A. (505600005)";"MULTITRAB - TRABALHO TEMPORÁRIO, LDA. (514004185)";"150.000,00 €";20-05-2019;08-05-2019;365 dias;"Portugal, Setúbal, Santiago do Cacém<BR/>Portugal";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"PC.131.2018.0001765 - Reabilitação dos blocos 1, 5 e 6 do Bairro de Vila das Aves em Santo Tirso";Concurso público;Empreitadas de obras públicas;"45453100-8, Obras de recuperação";"Instituto da Habitação e da Reabilitação Urbana, I. P. (501460888)";"Vierominho II - Construção e Reabilitação, Lda. (509094686)";"777.000,00 €";20-05-2019;24-04-2019;365 dias;"Portugal, Porto, Santo Tirso";"Artigo 19.º, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
"Aquisição e montagem de equipamentos de cozinha, para as escolas do Município, em regime de fornecimento contínuo.";Concurso público;Aquisição de bens móveis;"39710000-2, Electrodomésticos";Município de Oeiras (500745943);"Frisinde - Equipamentos Hoteleiros, Lda (502365889)";"73.027,80 €";20-05-2019;08-05-2019;1096 dias;"Portugal, Lisboa, Oeiras";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Prestação de Serviços de Fornecimento Gás Natural;Concurso público;Aquisição de bens móveis;"09123000-7, Gás natural";Municipio de Oliveira de Azeméis (506302970);"GALP POWER, SA. (504723456)";"254.878,10 €";20-05-2019;13-05-2019;1095 dias;Portugal;"Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
Fornecimento de reagentes para o Laboratório de Patologia Clínica - Imunologia (Proteínas séricas);Concurso público;Aquisição de bens móveis;"33696200-7, Reagentes para análises ao sangue";"Hospital da Senhora da Oliveira Guimarães, E. P. E. (508080827)";"SIEMENS HEALTHCARE UNIPESSOAL, LDA. (507925173)";"199.249,50 €";20-05-2019;21-03-2019;1095 dias;"Portugal, Braga, Guimarães";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";;;;;;Não aplicável.;Não aplicável.;false
CP13/2018 - Modernização Administrativa - Aquisição de equipamento para digitalização de grandes formatos e documentação histórica.;Concurso público;Aquisição de bens móveis;"30100000-0, Máquinas, equipamento e material de escritório, excepto computadores, impressoras e mobiliário";Comunidade Intermunicipal da Região de Coimbra (508354617);"R.F.S-TELECOMUNICAÇÕES, LDA (503027952)";"39.581,00 €";20-05-2019;27-02-2019;30 dias;"Portugal, Coimbra, Coimbra";"Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos";22-04-2019;"39.581,00 €";;;;Não aplicável.;Não aplicável.;false
